Clean_Content,Human_Label
i hail o 🇳🇬 two time heavy weight boxing champion of di world anthony joshua dey hail. im share dis foto im snap with some young children for naija .,positive
goment say deh go punish pipo weh dia behaviour di spread contagious and dangerous disease you di respect all de rules for block covid-19 around you ?,neutral
nigeria d'tigress beat senegal to claim afrobasket 2019 champions,positive
na only zakzaky shia followers get ban for ashura day procession,negative
“yes na foul on de gea but wetin pogba dey do when dem cross that ball?.”,positive
david silva!!!!!!! but de gea catch am.,positive
meet di artist wey say im artwork dey represent di 'gods',neutral
why goment dey close down 'witchcraft centres' for kano,neutral
important goal!!,positive
police say dem neva arrest suspects wey kidnap leader of buhari village,negative
5' penarity! kofler fall dzeko inside box!,positive
"na you talk dis one ooo. anyway sha, nothing spoil. the pesin wey sell monkey buy dog, na still animal wey dey use nyash siddon naim the pesin buy. make we jollificate with hazard.",positive
what a win!,positive
self-care na koko: you gats make your number 1 for your life.,neutral
lagos don release 11 patients of coronavirus wey recover,positive
"“lampard na super coach, we dey play good football.” man city 2-1 chelsea west ham 1-0 chelsea na the chelsea wey u…",positive
nemanja matic and scott mctominay dey fit for our clash against tottenham.,positive
️ aleksandar kolarov ️ 9⃣ goals for serie a for 2019 no defender don score more since 2006 tear net wit 3⃣ free-kicks for 2019/20 ⤵️ only messi don score free-kick pass am dis season juss dey beta as hin dey old!,positive
whatsapp no go work for some phone from tomorrow. check weda your phone dey inside,neutral
for all di serenren from di as e dey happun make you join us for live update,neutral
manchester united dey pursue £120m argentine due and plenty transfer tori,positive
as usual nah. you know as e dey go.,positive
manchester united chop l for theatre of nightmare and dem dey cry ontop of am.,positive
this arsenal na dead. why dem remove ozil self?,positive
"nigeria police ig say helicopters go begin patrol states, say make pipo no fear",positive
yeah but by stats tomori na motm yestade. our poll talk say na pulisic but dat one na as fans wey dey follow us think; but stats no dey lie.,positive
"happy new year guys ️ this year, we dey hope man united go: finish top 4 carry fa cup or efl cup trophy beat liverpoo…",positive
ebute metta fire update,neutral
unilag don suspend di second lecturer inside di feem,positive
bruno!!!,positive
"who dey right for dis mata? - {di mama or di school} - if na you wetin you for do🤔 queen's college, lagos na secondary school wey get rules wey no allow dis kain tin.",positive
di queen and prince harry go do face-to-face toks to discuss im and meghan future.,neutral
let's get it!! 9ja is being real gud to me with follow oshay,neutral
manchester united bin make £50m bid plus jara for bruno fernandes last week. e don tell sporting say e wan join. [mail],positive
good one . na we dey top table!,positive
"59' who be dis one? e no get wetin musa no go see for gate? for dis ogbonge game, na small pikin naim lampard dey put. lamptey dey enta for tomori.",neutral
27' chai! zaniolo shot chop bar again!!! ball don chop bar five times for dis match so far! 0⃣-1⃣,neutral
"""i dey beg our neighbours and di wider region to dey patient..."" - president buhari",neutral
e dey pain us too,neutral
"meghan, duchess of sussex say her british friend draw ear give am wen she meet her husband. meanwhile prince harry don say im go protect im family.",positive
"81 confam new cases of lassa fever for 2020, why e fit quick spread - ncdc",negative
"lampard yarn say we fit score plenti goals from all areas of the pitch, even from midfield and out wide. he con add say as a team we gats improve net-tearing rate becos we no dey struggle to create chances.",positive
“ roma alé forza roma alé voglio solo star con te voglio vincere e cantar te forza roma alé ..” ️,positive
line up na our starting xi for today be dis!️,neutral
why greenwood dey drop deep? who go score if e drop deep? 🤷‍️,positive
aaron wan-bissaka bin get hin first united assist vs newcastle. we hope say e go get hin 2nd today when we face burnley,positive
ghanaian 🇬🇭rapper  win best international flow category at di 2019 bet  dis be sarkodie en first bet hiphop award🥇,positive
five tins wey you no suppose miss for,positive
lampard con confam say jorginho na our asst. skippo. he con hama am say na so so gud character him dey show any time he dey around and the main koko na him english don improve.,positive
bruno fernandes na done deal? ⏳,positive
happy to all those who are celebrating!,positive
marcus rashford don score 9 pl goals this season.,positive
willian don yarn give  say the only ofa to commot wey don make sense wey him don accept na the one wey barcelona bring for 2018. no gree accept am.,neutral
"gbas gbos, gbas gbos!!! still ontop dat gbẹsẹ levels",positive
we see you,neutral
"to mark 50 years since di end of di biafra war, miracle follow her grandmamma tok ontop wetin she remember from di tins wey her eye see during di war. di biafra war happen between 1967 and 1970 for nigeria sake of say dem ben wan create kontri wey dem go call biafra",positive
"let’s hear from kurt happy zouma, after our seventh away win in a row!",positive
sporting lisbon director talk say e dey happy say the deal for bruno fernandes dey done! [sky] bruno na red,positive
. na di latest guest on bbc pidgin and naija jollof don collect anoda gbas gbos,neutral
"no, we no go gree ooo! he suppoz enta 90+",positive
ole go dey demand 99% performance from academy boys if dem wan make starting xi but e go dey demand 30% from hin usual…,positive
jidenna tweet say im dey find wife make social media hala,positive
harry maguire na leader? or we deceive ourselves? (talk true) how captain go leave brandon williams to mark van dijk. na something wey vidic no fit do!,neutral
na horrible team walahi,negative
"ole ontop rashford: ""e dey see chances everytime and e dey position well. on wednesday night, dem no fit contain am, we hope say we go see more of that kind rashford.""",positive
na the starting xi we dey predict vs arsenal. how you see am?,positive
63' | ️ | our first sub... ⬅️ patrik schick ️ nicolo zaniolo 1-3 |,neutral
"maguire: ""i dey heal fast and i fit play with pain. i no worsen am against norwich and i dey ready to go again.” [mail]",positive
shelly-ann fraser pryce na di fiirst mama to win world 100m title,positive
"ole: ""pogba go play? e no go play, but e dey train already. e fit play in 2019 sha, before the new year.""",positive
61' we nid anoda goal.,positive
"burna boy, davido, diamond platnumz, shatta wale, sho madjozi, tiwa savage, wizkid, and yemi alade na di nominees for artiste of di year. who you tink say go win am?",positive
na preseason wonder him be.,positive
"67' na blind go be our winsh for dis game? na lie he no reash - airtel. we no dey manure things hia. he first knack pulisic for ground first as he drive go, ref leave am, he brush abraham for ground, ref leave play make kontinu as ball reash willian leg, he cos handball.",neutral
"the way tension dey catch me ehn, i fit shit for body.",positive
atiku abubakar vs muhammadu buhari: nigeria presidential election petitions tribunal go pass judgement today,neutral
edin džeko bin add to hin international goals yestaday. hin tear net for bosnia &amp; herzegovina as dem waya liechtenstein 5-kondo! 🇧🇦️,positive
"when ole no dey do well, e no go mention dna. small win now, e don resume hin dna talk.",positive
"mgbuo-odohia killings: ""na my front dem kill my husband"" - wife of victim",negative
maguire dey good on the ball but e dey bad off the ball when dem dey counter us.,positive
at least 28 pipo don die for days heavy rain wey flood upper east,negative
henna design di natural tattoo,neutral
falconets beat cameroon to win gold,positive
nigeria international star ogenyi onazi pay for ex-nigeria u17 star sani emmanuel surgery.,positive
"nasarawa in. dis one na ""face me, i face you"" between apc &amp; pdp full gist:",positive
"45' willian see post tear, you say no. willian abegggggggg!",positive
lawmakers say ambode investigation no be 'witch-hunt',neutral
una good morning . watch this video and you go just they cry for nigeria police. because person dey use iphone . the officer weak me say he wey dey work for 14yrs never fit by 250k phone say na 15k phone he dey…,positive
pellegrini too get dat legwork abeg! ️,positive
deputy govnor ipalibo harry-banigo elain why di state dey battle unemployment,neutral
rivers election result: supplementary elections go hold for state assembly seats for 4 local goment,positive
wetin dey happen. pple no come out come vote oh. p.u dry. boys dey street dey high.  how far your boys no come vote oh.,positive
jose mourinho talking about the difference between a captain and a leader is the best video you'll watch today. this is q…,positive
we wan dash one lucky winner chance to kolobi x nike air jordan 1 sneakers wey dem customise. enta di competition for hia,positive
champions league don land atl madrid v liverpool b dortmund v psg who go win?,neutral
ole: “we no sabi if maguire go dey fit to face man city. e bin dey play with injury vs wolves. e remain small we for bench am at half-time but we leave am. we dey observe am.” [mu],positive
"okay, we don hear.",positive
islamic state for nigeria 'behead christian hostages',negative
"you fit guess wetin be  worst pick-up line? get di ansa! watch am here:  well, make we just tell una wey dey trip, you gats step up well well",positive
former french president jacques chirac don die at di age of 86,negative
️ fixtures don confam! ️ 🆚 juventus sunday 12 january ⏰ 20:45 (naija time) 🆚 lazio sunday 26 january ⏰ 18:00 (naija time) full tori ️,neutral
na who do ji sung park and evra like this?,positive
? for me only one team 🇪🇦 r 󠁧󠁢󠁥󠁮󠁧󠁿 o 🇮🇹 m 🇫🇷 a 🇩🇪 🇦🇷 r 🇨🇴 o 🇧🇷 m 🇲🇽 a,positive
"️ ""our fess half too make sense and e almost perfect. we show sabiness for attack, but we no fit allow our sef dey concede dat kain goal wey we chop for genoa hand."" ️",positive
"on kante and rudiger, frank yarn say both of dem kontinu to suffer from woundjuries wey dey get lass season and we no want rush dem comeback afta the ones wey dey come befor con woundjure again. becos of am, frank yarn say he no dey give date when dem go return.",neutral
"sex enhancement drugs: from kayamata, viagra to agbojedi, see how sex drugs dey affect pipo",neutral
my people this na  shedule . listen to unlimited 100% naija gbedu for we radio via website  or via app google play store . now hear our shedule . …,positive
"zappacosta don woundjure, chai! we dey wish am sharp sharp recovery.",neutral
"""nigeria make aliko dangote, but ghana gov’t dey destroy local businessmen"" – archbishop duncan-williams",negative
oga boss ranieri don dey for pre-match talk talk...,neutral
supreme court confam apc oyetola as di govnor of osun state,positive
na like dis evri evri go happen today befor tomorrow: ️ | oga boss ranieri go follow all man yarn on di match - 3pm | last training befor match - 4:15pm,neutral
start wetin?,neutral
sharp guy,neutral
president buhari tell nigerians to bone call for fulani herders to comot from south,neutral
31' willian jus waste our freekick afta newcastle players knack mount for ground.,neutral
45' mount collect mtn for yeye tackle.,positive
na 4th naim dey! we dey hapi where we dey now but we wan carry 1st sha,positive
"90' 5⃣ referee talk say na five minutes of wounjur time both teams go use tap ball more. meanwilly, fazio hin don shake net but ref fire whistle talk say na offside! 0⃣-0⃣",neutral
": police release name, foto of suspects wey kill kolade",negative
"wolves don dey lead for this game as smalling don score against him team, this one na serious gbege ooo wolves 2 man u 1",positive
anglophone crisis: rights group say make separatist fighters stop for abuse civilians,positive
18' chop bar! pellegrini shot chop bar afta el shawarma carry beta assist dash am! 0⃣-0⃣,negative
women's world cup: england knockout cameroon for france 2019,neutral
we gats drag land with dem. na our land ooo. our omonile no go gree dem.,positive
mamman daura pikin say her papa no be ring leader of any cabal for aso villa,positive
"yes o my people, i hope say una dey enjoy una day cos gospel vibes don land again o with  on top pidgin radio. and the ogbonge songs wey enter our top ten songs of the week be.... 10. gift dennis -…",positive
you don ever wonder how insects dey taste for mouth? see how we enta one african kontri to go chop insects wey dem cook like food. you go like chop dis kind food?,neutral
we dey do sneakers giveaway! one of our fans go get chance to win one of our as roma x nike air max 1 premium…,neutral
bomb dey her boot.,positive
"78' pulisic dey gada morale for dis match, him pass give azpilicueta wey cross am but dey knack am commot.",positive
5 gbosa for una!!! una tank u,positive
jersey giveaway! we go give one lucky winner 2019-2020 third kit. enta di competition for hia,neutral
"dzeko don score 88 goals since hin join for 2015/16 (total na 274), but una put firmino wey don score 68 since hi…",positive
who no like gold wey dey shine-shine? abeg collect dis proverb from west gee. yousef fit send your own inside comment section.,positive
faan suspend aviation security ogas on duty wen 'strange man' climb plane,negative
man city scata liverpool 29 year dream to win premier league title,negative
angel gomes don remove manchester united from hin bio. wow,positive
"guy, admin don go sleep. na hin assistant be dis. call back tomorrow...",negative
23' zouma chop chance from corner.,positive
"just put your hustle for reply, we go epp you  am, so far na legit work o! your customer dey our tl.",positive
28' e don be for salzburg. pulisic take the game personal. 3 kondo.,positive
rashford!!!! see mad freekick but pickford punsh am out.,positive
cameroon prison riot: authorities don put yaoundé for alert,negative
world refugee day: more dan 70 million pipo dey displaced worldwide - unhcr,negative
govnor ganduje of don dash n3m give zainab aliyu and ibrahim abubakar wey saudi arabia free on top wrong arrest for drug trafficking. : abubakar ibrahim ssa social media to governor ganduje,positive
️tear rubber️,positive
pesin wey sabi beta tin!,positive
june 12 in nigeria: mko abiola national stadium fotos on wednesday 12 june 2019 wen president buhari rename am,neutral
ivory coast titi kone don win best africa freestyle footballer 2019,positive
"72' diaaa fadaaaaaa. marcos alonso don score. pulisic first finish work for right, con cross ball, wey hudson-odoi block, con place pass for left wey alonso collect con hama shot wey enta net.",positive
efcc oga ibrahim magu say dis na di highest convictions dem don get since di commission start.,neutral
"48' dis foster na winch, see as he block mount shot go corner.",positive
pesin wey dey number 1️⃣ as oga boss for our top 5⃣ assist pipu fit shock you... skemp am for hia,neutral
"police gbab suspects wey tiff 1000 cows, kill owner for kano.",negative
interesting e bi like say this talk get correct seasoning for inside the soup,positive
chai! my lungs oooooo! pipu sabi tori for hia sha!,positive
bbc yoruba dey follow drop advice for pipo wey believe sun ️ fit kill di .,neutral
"nigeria go 'work out' di $130,000 iaaf missing money mata' - solomon dalung",neutral
na daniel james for premier league: games - 19 assists - 6 goals - 3 hin work rate make brain. £15m na steal!,positive
this pereira na big moron,positive
rashford for the boys in fpl.,positive
why death of sojas for dey pain of,neutral
over 50 women groups go enta road to protest port harcourt hotel killing,negative
who do you want to see on this week's header photo? cast your vote below,positive
i go show next wk by gods grace!,positive
we dey wait,positive
as in dunno why yemi alade didn't do video,positive
twitter don ready to ban all political adverts for dia social media app.,neutral
we gats win o! gimme 3 points!,positive
senator dino melaye of pdp and senator smart adeyemi of apc na di main candidates wey fit win for di final results,neutral
atewa forest: quick facts about di ghana forest wey need protection from bauxite mining,neutral
williams wow!!!,neutral
nigerian festivals wey dey forbid women one kain,negative
no dey live for hia. evribodi na,neutral
"anthony joshua , wen orobo help you fight",negative
mane!! but na goal kick.,positive
three girls wey draw ontop dia president face don go prison,neutral
komkom pipeline elosion: rescuer say 'i comot 43 deadibody from di swamp',negative
history of africa: nine cameroon lamidos appoint 123 women for work as decision makers for traditional authorities,positive
"ghana, togo police arrest second nigerian suspect over de kidnapping of three takoradi girls",positive
- efcc deny say dem raid former govnor of lagos state akinwunmi ambode house.,negative
na juss 1 match remain for 2019! make we do am!,positive
skemp all di goals and highlights dem from yestaday padi padi game! ️,neutral
e don dey mess up with hin predictions lately. so we no go consult am today. we dey pray for win vs wolves.,positive
oya my people make una click to read to enjoy the whole story wey happen for all this in pidgin yarning by,positive
lagos lockdown sake of coronavirus: 'how my children go survive?',neutral
"kontri pipo good morning! today proverb don land! segun ajibuwa na im send am, you sef send us your own.",neutral
lampard con yarn say he dey hapi for tammy abraham and mason mount wey score dia first england goals. he rememba say from when him be player to score na lucozade boost.,positive
hungry wolves dey go feast,positive
na 'fake news' say court order inec to stop collation of rivers govnorship election result,neutral
nigeria government go pay over n1bn to manufacturers for codeine cough syrup wey dem withdraw,positive
ondo state goment declare public holiday to welcome president muhammadu buhari,neutral
dem don dey o. check dem out -,neutral
rashford na big game player!!!,positive
"""i love my work wella. i dey carry my job for head... i love di game wella and i wan make pipu wey near me dey follow me share inside di love..."" in case you dull am, our 1st interview wit di new oga boss.",positive
we shock when we see am,neutral
anglophone crisis: cameroon no wan poke-nosing to solve anglophone crisis,negative
"solskjaer: ""cristiano ronaldo fit score many mad goals with hin left leg. but mason greenwood fit score mad goals with both legs, this boy na mad finisher.""",positive
"🆕 first season, last game 🆚  🇮🇹 serie a ️ stadio bozzi sat 20 april 12:30 local time  &amp;…",neutral
yes o,neutral
topic: marcus rashford na our best attacker this season. true or false,positive
wilfred zaha want comot for  and him destination na  fans go dey hope make that move work.,positive
"make una help us confam dis proverb wey nandom wuyep drop for us dis morning. if you sef get any proverb, make you drop am",neutral
"man utd fan anthony joshua don beat andy ruiz by unanimous decision for their rematch. joshua don take back the wbo, i…",positive
clarence seadorf: cameroon sack dia coach afta lions komot for afcon,negative
"we don enta road! florence, how far? we dey com pack 3 points.",positive
"martial no get sense, why e no give james???",positive
about yesterday lity lity .  . pidgin radio oap. dapsofficial x acertainlagosbiggirl hold ham gidigba for the green carpet wey people dey request there trending and favorite tracks. …,positive
president buhari tok sorry to families of victims wey die for dis year hajj.,positive
dis one sound like proverb of di day,positive
"fit promote ethan laird to first team after ashley young don wakka. also, largie ramazani self fit dey senior team as rashford don injure [men]",positive
frank con yarn say he neva know wetin him gats eect from tammy abraham onto scattering of posts. 'i jus believe in am and trust am. i know say pipu dey yarn say na becos of the ban naim make young players get chances to play but i feel say na him time now.',positive
"ontop frsc and google maps mata wey dey make pipo para,  don yan.",negative
ably capturing the mood of nigerians as they await the election results from  well  is doin…,positive
rivers lawmakers protest for goment to fix eleme-akpajo bridge,negative
oyaaaaaa follow my lead i lead u follow. let's it ! from london to naija,positive
brazil supreme court don lift ban comot netflix 'gay jesus' feem.,positive
pornhub dey 'profit from revenge porn',positive
man united go win tonight!,positive
una good morning! dis na today proverb wey joel odali send come. how you reason am?,neutral
wetin josé mourinho go collect on hin old trafford return tonight? win lose draw,positive
123 men we arrest inside truck with okada from jigawa no be terrorists - lagos police,negative
hahaha. gud one! stamford bridge fine ooo!,positive
"the last three man utd managers wey don beat city at ethiad stadium: van gaal 1-0 city: rashford ole 2-1 city: rashford, martial mourinho 3-2 city: pogba 2x, smalling. which of dem sweet you pass?",positive
frank lampard dey hapi to go international break with the gud form wey him team dey. he con add say the performance when match start no be ogbonge one but den players con show dia quality.,positive
"why e be say up till today pipo still dey pipo based on how dem look? some of una big big celebs don chook mouth for di mata, you sef follow tok-tok ⤵️ full video:",neutral
"babatunde fashola [ ] di honourable minister of  follow us tok about im achievements in di past four years. to watch di full video, go:",positive
president buhari go attend uk-africa investment summit for london,positive
"as you dey jolly for dis christmas, take some time to hear message from presido buhari",neutral
"willing buyer, willing seller: wetin you gatz know about new electricity policy",neutral
"make una meet 8-year-old ghanaian, efya ayeyi wey be inspiration! ""i no fit stretch my arms, but i fit stretch my brain ... so i fit do great tins."" ayeyi get osteogenesis imperfecta but dat one neva stop her lover to dance.",positive
where you wan see andreas pereira against aston villa?  for start like for bench ️,positive
nigeria men basketball team never still book their flight to enter china where fiba basketball world cup go take place on the 31st of august.,positive
happy new year. god go bless all our followers. we dey eye 2020 🥂,positive
google doodle: 5 tins to sabi about buchi emecheta,neutral
"ht: burnley 0 vs 2. na christian pulisic get dis match. he worry burnley taya sotey burnley con burn. omo, captain america dey on",positive
"ah dey tell you. we gats scatter lille tomoro. na chop, clean mouth we gats do lille.",positive
"no jus fall him hand. dey bang goals upadan make we see how you go siddon for bench again. captain america na your time, dey save us dey go.",positive
"️ ""di players don undastand wetin i want. na important tin to get clean sheet and we dey do beta for attack sef."" - oga paulo fonseca",positive
"dear management, roma pidgin admin dey hia dey eect pay rise while players dey get new contract deal 🤧 yours ogbonge…",positive
faan don deny tori say dem stop uber and bolt from airport waka.,positive
we shock ooo when we see am. we global now!,positive
marcus rashford dey show up at carrington today. e dey sad,positive
"conua di new union wey pull out of asuu wan do tins right, put students first",positive
"haaland don go dortmund, e mean say more game time for mason greenwood. nice!",positive
"""i dey sleep wit 15 men every day to pay my madam""",negative
"dis na how some children take celebrate childrenâ€™s day for ijora-badia dem no send dia environment, dem draw plenti tins wey dem wan use catch goment attention ontop dia mata.  dey teach di children under wetin him call",positive
happy baiday to sabi pikin nicolo zaniolo! di midfielder don turn 2️⃣0️⃣ today! 🇮🇹,positive
anthony joshua vs andy ruiz time: see joshua 'brutal plan' for ruiz jr,neutral
"simple understanding of coronavirus covid-19 disease. di history, symptoms,treatment &amp; spread dey here  -check",neutral
"since dem be win their first ever premier league match versus manchester united for august 2009, burnley never win inside dem other nine against them for the competition (d4 l5). how e go be?",positive
port harcourt hotel killings: police claim say suspect don confess to kill 15 girls,negative
"""i believe say i get beta luck for my side to becom roma player, to play for ogbonge club like dis. i no enjoy my holiday finish sef becos i no fit wait to start to dey train wit my teammates dem."" ▶ watch diawara first interview for .",positive
na the starting xi we dey predict vs astana! wetin you think?,positive
vidic &gt;&gt;&gt; van dijk be humble.,neutral
volodymyr zelensky: how comedian win election to become presido for ukraine,positive
69' giroud don show for fada abraham.,positive
flying eagles waya qatar 4-0 for opening match,positive
williams or shaw na who deserve to start for against tottenham tonight?,positive
": uk parliament disappoint boris johnson, vote to delay brexit",negative
nigeria election: senate wan make inec begin do e-voting for future elections,neutral
"“i be one of players wey old pass for hia now, wit aleks, fede, antonio mirante. ""and na sure tin say we gaz be example for di small pikin players dem... we dey try epp dem com up wella...""",positive
cameroon soldiers say dia boss order dem for kill mami and pikin for far north',negative
"no be the message we wan make you take. our message na make you no do pass yourself. if you reash to get iphone 11 and wan get am, get am but if you no reash to get, no get am. na the message we dey send.",positive
"make una no dey show us dis video naaa, no dey rememba us dis again unless you wan make wetin happen for 1901 happen again.",positive
ayyyyyy! we see di presido of,neutral
see as e dey happen live for di inauguration of the house of reps hia,neutral
ogbonge retired talent manager wale applause life of a talent manager  pidgin version,positive
na our lineup be dis. ginger we get person to knack,positive
lagos  gubernatorial  candidate cast his vote in apapa.,neutral
"""surfing has taught me to be courageous."" why this nigerian wants more surf shops in her country.",positive
na goals this season: rashford 16 martial 10 greenwood 8 total na 34 salah 13 mane 13 firminho 8 total na 34,positive
e be like say davido ( ) don turn gospel singer. read about di good news:,positive
maguire na senior man! we love am,positive
"dis year, bbc dey hold two sessions for  wey dem call ""turning up the volume for female voices"", wey go hold for friday, february and ""growing audiences in a competitive digital space"" wey go hold for monday.",neutral
"fans, wetin you think about the ashley young news? reply us now.",positive
“i choose becos na ogbonge club and as di coachie follow me talk about wetin hin want totori my belle. na beta tin to move go front for my career.” read more from di sabi player interview for hia️,positive
12' mount try de gea afta him collect one sweet pass but manu kipa catch the ball.,positive
"when we talk say chris smalling better pass harry maguire, some people talk say we dey harsh. £80m but e no fit do the basics. for defender, to be ball playing na jara. the bitter truth na say if you no fit do the simple things, you go cost your teams easy goals.",positive
"19' ️ diawara path wac defence like red sea wit hin pass to perotti, and una know pero pero always dey do wit assist nah! long tori to short sleeve sha, dzeko shake net as hin pass enta empty post! 2️⃣-1️⃣",positive
president trump don confam say us operation inside syria kill isis leader abu bakr al-baghdadi,negative
nigerian army rescue 13 farmers from kidnappers hand,positive
"- don meet gabigol, den confam am - napoli want ogbonge money wey reash €120m for koulibaly - wilfred zaha want make we pay am £200k a week. - danny drinkwater don return to chelsea - chelsea fit use telles replace chilwell na how chelsea transfa mata be now. 🤷‍️‍️‍️‍️",positive
"we're also wishing a happy birthday to our assistant coach,",positive
barcelona v real madrid: la liga wan go court ontop di new el clasico date,neutral
we no demolish mosque for rivers state - govnor wike,neutral
"back from injury, and straight back on the scoresheet - well played,  what an assist from  to…",positive
"coronavirus no no colour, kontri, or age! why cameroonians go shoot foreigners, insult dem because of dis virus weh e touch de whole world?",negative
"seyi makinde di govnor of oyo state asset declaration don show, how you see dis mata? di details show di current value of makinde companies na n48,150,736,889 as at may 28.",neutral
na update ontop the surgery wey paul pogba do.,positive
manchester united fans dey wait for this... ⏳,positive
"89' reece james don ansa present as he faya confam shot wey one yeye spurs back man block. gud one, james!",positive
58' zouma do one world class slide wey commot ball from ikone leg. zouma don dey pick up.,positive
supreme court don declare hope uzodinma winner of imo governorship election.,positive
coronavirus: nigeria confam four new cases for lagos,negative
"me anor see this boy get future with united , this na me opinion ! of all the youngsters , e b me list f…",positive
"fashola ansa qweshion left, right and centre from senators during ministerial screening",neutral
anglophone crisis: cameroon goment send aid items to northwest and southwest,positive
subs men dem for bench...,neutral
"my people . if you never hear lee_republik song abeg go him page download him song . buy. we love him song. listen via  @ ogudu, lagos, nigeria",positive
"man city go hard o. na for ethiad self, na god go save us. if we go beat dem, we gats work very hard!",positive
"lampard on kovacic's goal: 'between me and kovacic we don crack plenti jokes about am. he get dat kind quality. i hope say na the start of something wey new, he suppoz dey score plenti goals, and i dey hapi for am.' na so e be for baba ginjah mouth.",positive
president muhammadu buhari say im know wetin to do &amp; e no go fall di hands of nigerians,positive
"71' oga paulo don make hìn fess subs for dis match. perotti, antonucci and pellegrini go enta for kluivert, ünder and diawara wey dey comot go sidon for bench. 1⃣-2️⃣",negative
congrats to the african giant  for grammy award nomination. this is a huge milestone for the continent. we ha…,neutral
️ sub cengiz under don enta for lorenzo pellegrini as hin go play against hin befor befor club. 0⃣-3⃣,neutral
66' ️ our first change for tonight. mancini enta for juan jesus. 3️⃣-2️⃣,neutral
livarpool. na waaa oh!,neutral
akwa ibom don serve dia result like banga rice di latest results dey here:,positive
"cardi b wan trademark ""okurrr"", plus how beyoncé, jay-z, prince &amp; taylor swift don try am before",positive
"bone say him play for england, fada abraham na ogbonge naija boi, him show for star boi show yestade.",positive
we don start game hia for luigi ferraris! daje roma! [wit,positive
"fred x mctominay this guys deserve pass 1000 s for how dem take perform vs spurs tonight. fans, make this happen",positive
"lampard yarn say tomoro game at man city na ogbonge test to see where him team dey now, but he no go judge based on the rezot, as e dey too early now to judge.",positive
32' na so so block block dis westham guys carry come. dey block anoda pulisic effort.,positive
"we dey live for apc press conference for abuja, you fit watch am hia",positive
copa lagos 2019: how senegal become champions for di second time,positive
retired pope benedict warn francis make e no reason marriage for priests,negative
"mean while, for places like abuja and port-harcourt police plenty but di protest neva start for those areas",neutral
why be say goment dey struggle to meet dem target for tax for nigeria?,negative
"pius adesanmi, we go miss you, all of us for",positive
ego beta. i like dat word,positive
na spal team be dis,negative
"from adamawa state, di highest peak of di nation to update on results:",positive
14 lions don escape from south africa national park,negative
"maths, chemistry, oda subjects wey pipo feel say no epp dem for life",negative
ann grace aguti marry three husbands at once,neutral
second half don start nigeria 0-0 burundi,positive
"katsina death penalty: 'death sentence law for kidnapping and cattle rustling, no follow'",negative
"watch as dem dey play ball the time wey dey neva born most of una. bobby tambling wey you dey hear since, see am as he take dey tear net. the video sharp die!",positive
"togo national football team attack: survivors remember machine gun ambush, 10 years afta",negative
my people . una doh . see who dey carry body come studio today  as the  go dey host ham. he go dey yarn us . him new projects. and wetin make we dey eect this quarter. listen via…,positive
"ghana 🇬🇭 record first coronavirus death case after 69 year old lebanese die today. prez akufo-addo declare wednesday march 25 as national fasting and prayer make people pray against covid-19 all borders from sunday, march 22 midnight. . . : office of the president",negative
"congratulobia, big mark! you too deserve am.",positive
: nigeria go receive 319 south africa returnees on tuesday,positive
wetin go be di word?,neutral
